
jrcC2006#278#04-en,1.0,3,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,1,jrcC2006#278#04-en,1.0,6,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,1
jrcC2006#278#04-en,1.0,3 2 2,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,3,jrcC2006#278#04-en,1.0,6 3 2,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,3
jrcC2006#278#04-en,1.0,3 2 2 3 2,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,5,jrcC2006#278#04-en,1.0,6 3 2 2 2,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,5
jrcC2006#202#04-en,1.0,3,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,1,jrcC2006#202#04-en,1.0,2,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,1
jrcC2006#202#04-en,1.0,3 2 2,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,3,jrcC2006#202#04-en,1.0,2 2 2,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,3
jrcC2006#202#04-en,1.0,3 2 2 3 2,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,5,jrcC2006#202#04-en,1.0,2 2 2 2 3,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,5
jrc32006D0175-en,1.0,3,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,1,jrc32006D0175-en,1.0,3,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,1
jrc32006D0175-en,0.6666666666666666,3 0 1,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,3,jrc32006D0175-en,1.0,3 1 2,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,3
jrc32006D0175-en,0.8,3 0 1 2 3,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,5,jrc32006D0175-en,0.8,3 1 2 0 3,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,5
jrc32004R2110-en,0.0,0,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,1,jrc32004R2110-en,0.0,0,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,1
jrc32004R2110-en,0.3333333333333333,0 0 1,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,3,jrc32004R2110-en,0.3333333333333333,0 0 2,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,3
jrc32004R2110-en,0.6,0 0 1 1 1,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,5,jrc32004R2110-en,0.4,0 0 2 0 3,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,5
jrcC2006#178#26-en,1.0,1,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,1,jrcC2006#178#26-en,1.0,1,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,1
jrcC2006#178#26-en,0.6666666666666666,1 1 0,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,3,jrcC2006#178#26-en,0.6666666666666666,1 1 0,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,3
jrcC2006#178#26-en,0.4,1 1 0 0 0,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,5,jrcC2006#178#26-en,0.4,1 1 0 0 0,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,5
jrcC2006#288#14-en,1.0,2,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,1,jrcC2006#288#14-en,1.0,3,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,1
