
jrc31996D0587-en,1.0,5,69 4361,1
jrc31996D0587-en,0.3333333333333333,5 0 0,69 4361,3
jrc31996D0587-en,0.2,5 0 0 0 0,69 4361,5
jrc32006D0340-en,1.0,2,69 4361,1
jrc32006D0340-en,0.6666666666666666,2 1 0,69 4361,3
jrc32006D0340-en,0.4,2 1 0 0 0,69 4361,5
jrc31995R2479-en,0.0,0,69 4361,1
jrc31995R2479-en,0.0,0 0 0,69 4361,3
jrc31995R2479-en,0.0,0 0 0 0 0,69 4361,5
jrc22006A1019_01-en,1.0,1,69 4361,1
jrc22006A1019_01-en,1.0,1 1 1,69 4361,3
jrc22006A1019_01-en,0.6,1 1 1 0 0,69 4361,5
jrcC2006#029#05-en,1.0,2,69 4361,1
jrcC2006#029#05-en,1.0,2 2 2,69 4361,3
jrcC2006#029#05-en,1.0,2 2 2 2 2,69 4361,5
jrcC2005#297#09-en,1.0,2,69 4361,1
jrcC2005#297#09-en,1.0,2 2 2,69 4361,3
jrcC2005#297#09-en,1.0,2 2 2 2 2,69 4361,5
jrcC2006#006#06-en,1.0,2,69 4361,1
jrcC2006#006#06-en,1.0,2 2 2,69 4361,3
jrcC2006#006#06-en,1.0,2 2 2 3 3,69 4361,5
jrcC2006#047#09-en,1.0,2,69 4361,1
jrcC2006#047#09-en,1.0,2 2 4,69 4361,3
jrcC2006#047#09-en,1.0,2 2 4 2 2,69 4361,5
jrcC2006#083#06-en,1.0,2,69 4361,1
jrcC2006#083#06-en,1.0,2 2 3,69 4361,3
jrcC2006#083#06-en,1.0,2 2 3 2 2,69 4361,5
jrcC2006#153#06-en,1.0,2,69 4361,1
jrcC2006#153#06-en,1.0,2 2 3,69 4361,3
jrcC2006#153#06-en,1.0,2 2 3 2 2,69 4361,5
jrcC2006#147#05-en,1.0,2,69 4361,1
jrcC2006#147#05-en,1.0,2 2 2,69 4361,3
jrcC2006#147#05-en,1.0,2 2 2 2 2,69 4361,5
jrcC2006#150#06-en,1.0,3,69 4361,1
jrcC2006#150#06-en,1.0,3 2 3,69 4361,3
jrcC2006#150#06-en,1.0,3 2 3 2 2,69 4361,5
jrcC2006#241#07-en,1.0,3,69 4361,1
jrcC2006#241#07-en,1.0,3 2 2,69 4361,3
jrcC2006#241#07-en,1.0,3 2 2 3 2,69 4361,5
jrcC2006#248#10-en,1.0,3,69 4361,1
jrcC2006#248#10-en,1.0,3 3 2,69 4361,3
jrcC2006#248#10-en,1.0,3 3 2 3 2,69 4361,5
jrc31997D0522-en,1.0,4,69 4361,1
jrc31997D0522-en,1.0,4 3 3,69 4361,3
jrc31997D0522-en,1.0,4 3 3 3 2,69 4361,5
jrc31997D0486-en,1.0,6,69 4361,1
jrc31997D0486-en,1.0,6 3 3,69 4361,3
jrc31997D0486-en,1.0,6 3 3 4 4,69 4361,5
jrc31997D0487-en,1.0,6,69 4361,1
jrc31997D0487-en,1.0,6 3 3,69 4361,3
jrc31997D0487-en,1.0,6 3 3 4 4,69 4361,5
jrc31997D0520-en,1.0,3,69 4361,1
jrc31997D0520-en,1.0,3 5 4,69 4361,3
jrc31997D0520-en,1.0,3 5 4 2 3,69 4361,5
jrc31998D0516-en,1.0,3,69 4361,1
jrc31998D0516-en,1.0,3 6 6,69 4361,3
jrc31998D0516-en,1.0,3 6 6 3 2,69 4361,5
jrc31998D0515-en,1.0,5,69 4361,1
jrc31998D0515-en,1.0,5 5 5,69 4361,3
jrc31998D0515-en,1.0,5 5 5 3 2,69 4361,5
jrc31998D0519-en,1.0,3,69 4361,1
jrc31998D0519-en,1.0,3 6 6,69 4361,3
jrc31998D0519-en,1.0,3 6 6 3 2,69 4361,5
jrc31998D0521-en,1.0,5,69 4361,1
jrc31998D0521-en,1.0,5 5 5,69 4361,3
jrc31998D0521-en,1.0,5 5 5 3 2,69 4361,5
jrc31998D0533-en,1.0,3,69 4361,1
jrc31998D0533-en,1.0,3 4 4,69 4361,3
jrc31998D0533-en,1.0,3 4 4 6 2,69 4361,5
jrc31998D0522-en,1.0,5,69 4361,1
jrc31998D0522-en,1.0,5 5 6,69 4361,3
jrc31998D0522-en,1.0,5 5 6 4 2,69 4361,5
jrc31998D0535-en,1.0,3,69 4361,1
jrc31998D0535-en,1.0,3 3 2,69 4361,3
jrc31998D0535-en,1.0,3 3 2 2 2,69 4361,5
jrc31998D0575-en,1.0,4,69 4361,1
jrc31998D0575-en,1.0,4 4 2,69 4361,3
jrc31998D0575-en,1.0,4 4 2 3 3,69 4361,5
jrc31999D0310-en,1.0,2,69 4361,1
jrc31999D0310-en,1.0,2 2 2,69 4361,3
jrc31999D0310-en,1.0,2 2 2 2 3,69 4361,5
jrc31999D0304-en,1.0,6,69 4361,1
jrc31999D0304-en,1.0,6 3 2,69 4361,3
jrc31999D0304-en,1.0,6 3 2 2 2,69 4361,5
jrc31999D0511-en,1.0,2,69 4361,1
jrc31999D0511-en,1.0,2 2 2,69 4361,3
jrc31999D0511-en,1.0,2 2 2 2 2,69 4361,5
jrc31999D0497-en,1.0,2,69 4361,1
jrc31999D0497-en,1.0,2 2 2,69 4361,3
jrc31999D0497-en,1.0,2 2 2 2 2,69 4361,5
jrc31997D0523-en,1.0,4,69 4361,1
jrc31997D0523-en,1.0,4 3 3,69 4361,3
jrc31997D0523-en,1.0,4 3 3 6 4,69 4361,5
jrc31997D0524-en,1.0,4,69 4361,1
jrc31997D0524-en,1.0,4 2 2,69 4361,3
jrc31997D0524-en,1.0,4 2 2 4 6,69 4361,5
jrc31997D0525-en,1.0,3,69 4361,1
jrc31997D0525-en,1.0,3 2 2,69 4361,3
jrc31997D0525-en,1.0,3 2 2 5 4,69 4361,5
jrc31997D0545-en,1.0,4,69 4361,1
jrc31997D0545-en,1.0,4 2 3,69 4361,3
jrc31997D0545-en,1.0,4 2 3 3 3,69 4361,5
jrc31997D0639-en,1.0,3,69 4361,1
jrc31997D0639-en,1.0,3 3 3,69 4361,3
jrc31997D0639-en,1.0,3 3 3 3 2,69 4361,5
jrc31997D0751-en,1.0,3,69 4361,1
